Facility_Name,City,ZIP_Code,County_Code,County_Name,Type,Category,longitude,latitude,x,y
BERKELEY THERAPY INSTITUTE,Berkeley,94709,1,Alameda,Clinic,Community Clinic,-122.273185,37.874755,-13611387.23,4561747.266
EAST OAKLAND HEALTH CENTER,Oakland,94621,1,Alameda,Clinic,Community Clinic,-122.18576,37.7586,-13601655.12,4545379.288
EASTER SEAL SOC OF THE BAY AREA,Oakland,94612,1,Alameda,Clinic,Community Clinic,-122.26791,37.81674,-13610800.02,4553568.865
AXIS COMMUNITY HEALTH,Pleasanton,94566,1,Alameda,Clinic,Community Clinic,-121.87371,37.66145,-13566917.88,4531709.125
LA CLINICA DE LA RAZA FRUITVALE HEALTH PROJECT,Oakland,94601,1,Alameda,Clinic,Community Clinic,-122.22515,37.77875,-13606040,4548216.88
WOMENS CHOICE CLINIC - OAKLAND,Oakland,94612,1,Alameda,Clinic,Community Clinic,-122.274301,37.805748,-13611511.46,4552020.043
PLANNED PARENTHOOD GOLDEN GATE - MACARTHUR,Oakland,94609,1,Alameda,Clinic,Community Clinic,-122.264412,37.826191,-13610410.62,4554900.739
PSYCHOTHERAPY INSTITUTE,Berkeley,94704,1,Alameda,Clinic,Community Clinic,-122.26312,37.86175,-13610266.8,4559913.386
WEST OAKLAND HEALTH CENTER,Oakland,94607,1,Alameda,Clinic,Community Clinic,-122.28795,37.80441,-13613030.86,4551831.528
ASIAN HEALTH SERVICE,Oakland,94607,1,Alameda,Clinic,Community Clinic,-122.27117,37.79947,-13611162.92,4551135.548
"TIBURCIO VASQUEZ HEALTH CENTER, INC.",Union City,94587,1,Alameda,Clinic,Community Clinic,-122.02599,37.60277,-13583869.61,4523460.819
"ANN MARTIN CHILDREN'S CENTER, INC",Piedmont,94610,1,Alameda,Clinic,Community Clinic,-122.2442,37.82005,-13608160.63,4554035.304
EAST BAY NATIVE AMERICAN HEALTH CENTER,Oakland,94601,1,Alameda,Clinic,Community Clinic,-122.22636,37.77796,-13606174.69,4548105.615
PLANNED PARENTHOOD GOLDEN GATE - HAYWARD,Hayward,94541,1,Alameda,Clinic,Community Clinic,-122.065893,37.682796,-13588311.59,4534711.227
BERKELEY COMMUNITY HEALTH PROJECT,Berkeley,94704,1,Alameda,Clinic,Free Clinic,-122.26176,37.8675,-13610115.4,4560724.173
"WRIGHT INSTITUTE, THE",Berkeley,94704,1,Alameda,Clinic,Community Clinic,-122.25307,37.86851,-13609148.04,4560866.596
BERKELEY WOMEN'S HEALTH CENTER,Berkeley,94705,1,Alameda,Clinic,Community Clinic,-122.26143,37.85696,-13610078.67,4559238.013
LA CLINICA DE LA RAZA DENTAL,Oakland,94601,1,Alameda,Clinic,Community Clinic,-122.22533,37.78001,-13606060.04,4548394.343
CASA DEL SOL,Oakland,94601,1,Alameda,Clinic,Community Clinic,-122.22521,37.77894,-13606046.68,4548243.64
PLANNED PARENTHOOD GOLDEN GATE - EASTMONT,Oakland,94605,1,Alameda,Clinic,Community Clinic,-122.177548,37.766338,-13600740.97,4546468.888
EAST BAY AGENCY FOR CHILDREN - OAKLAND,Oakland,94602,1,Alameda,Clinic,Community Clinic,-122.202259,37.807888,-13603491.78,4552321.56
SAN ANTONIO NEIGHBORHOOD HEALTH CENTER,Oakland,94606,1,Alameda,Clinic,Community Clinic,-122.24917,37.79166,-13608713.89,4550035.317
LIFELONG DENTAL CARE,Berkeley,94703,1,Alameda,Clinic,Community Clinic,-122.26989,37.84891,-13611020.43,4558103.09
ASIAN COMMUNITY MENTAL HEALTH SERVICES,Oakland,94607,1,Alameda,Clinic,Community Clinic,-122.27046,37.79893,-13611083.88,4551059.471
AXIS COMMUNITY HEALTH,Livermore,94550,1,Alameda,Clinic,Community Clinic,-121.75598,37.6761,-13553812.24,4533769.406
EAST BAY AGENCY FOR CHILDREN - FREMONT,Fremont,94538,1,Alameda,Clinic,Community Clinic,-121.958197,37.518029,-13576322.93,4511560.739
WILLIAM BYRON RUMFORD MEDICAL CLINIC,Berkeley,94702,1,Alameda,Clinic,Community Clinic,-122.27925,37.85386,-13612062.38,4558800.947
ALBERT J. THOMAS MEDICAL CLINIC,Oakland,94603,1,Alameda,Clinic,Community Clinic,-122.16619,37.73845,-13599476.6,4542542.47
"BERKELEY PRIMARY CARE ACCESS CLINIC, INC",Berkeley,94704,1,Alameda,Clinic,Community Clinic,-122.26895,37.86379,-13610915.79,4560201.032
"CHARLOTTE MAXWELL COMPLEMENTARY CLINIC, THE",Oakland,94609,1,Alameda,Clinic,Community Clinic,-122.26166,37.84286,-13610104.27,4557250.217
TIBURCIO VASQUEZ HEALTH CENTER DBA MIRANDA CLINIC,Hayward,94544,1,Alameda,Clinic,Community Clinic,-122.089786,37.63278677,-13590971.35,4527679.289
THIRD BOX PREGNANCY CLINIC SF BAY AREA,Oakland,94609,1,Alameda,Clinic,Community Clinic,-122.26486,37.81905,-13610460.49,4553894.384
CENTER FOR ELDERS INDEPENDENCE (CLINIC) - BANCROFT,Oakland,94605,1,Alameda,Clinic,Community Clinic,-122.1775176,37.7663206,-13600737.58,4546466.438
TRI-CITY HEALTH CENTER - MOWRY AVE,Fremont,94538,1,Alameda,Clinic,Community Clinic,-121.98179,37.5567,-13578949.29,4516989.583
LOGAN HEALTH CENTER,Union City,94587,1,Alameda,Clinic,Community Clinic,-122.0266,37.59134,-13583937.52,4521854.927
WEST BERKELEY FAMILY PRACTICE,Berkeley,94710,1,Alameda,Clinic,Community Clinic,-122.29735,37.86703,-13614077.26,4560657.898
CENTER FOR ELDERS INDEPENDENCE (CLINIC),Oakland,94612,1,Alameda,Clinic,Community Clinic,-122.27314,37.80983,-13611382.22,4552595.188
ASIAN HEALTH SERVICES,Oakland,94612,1,Alameda,Clinic,Community Clinic,-122.26709,37.80263,-13610708.74,4551580.744
UJIMA HOUSE,Oakland,94603,1,Alameda,Clinic,Community Clinic,-122.16989,37.74326,-13599888.48,4543219.576
LIFELONG MEDICAL CARE - EAST OAKLAND,Oakland,94605,1,Alameda,Clinic,Community Clinic,-122.15121,37.74211,-13597809.04,4543057.685
NURSES IN ACTION FAMILY WELLNESS CLINIC,Oakland,94612,1,Alameda,Clinic,Community Clinic,-122.26979,37.80634,-13611009.3,4552103.452
PREGNANCY CHOICES  CLINIC,Union City,94587,1,Alameda,Clinic,Community Clinic,-122.0342871,37.59315094,-13584793.24,4522109.344
TRI CITY HEALTH CENTER,Fremont,94538,1,Alameda,Clinic,Community Clinic,-121.97742,37.5485,-13578462.83,4515838.188
LA CLINICA PEDIATRICS,Oakland,94601,1,Alameda,Clinic,Community Clinic,-122.23214,37.78101,-13606818.12,4548535.189
OVER 60 HEALTH CENTER,Berkeley,94702,1,Alameda,Clinic,Community Clinic,-122.27793,37.84816,-13611915.44,4557997.358
CENTER FOR ELDERS INDEPENDENCE,Berkeley,94702,1,Alameda,Clinic,Community Clinic,-122.27817,37.8479,-13611942.16,4557960.705
WASHINGTON URGENT CARE,Fremont,94538,1,Alameda,Clinic,Community Clinic,-121.98234,37.55594,-13579010.52,4516882.863
CITY HELP COMMUNITY SERVICES,Berkeley,94703,1,Alameda,Clinic,Community Clinic,-122.278797,37.853189,-13612011.95,4558706.346
AIDS PROJECT OF THE EAST BAY,Oakland,94612,1,Alameda,Clinic,Community Clinic,-122.26963,37.80701,-13610991.49,4552197.853
ON LOK SENIOR HEALTH SERVICES - FREMONT CENTER,Fremont,94539,1,Alameda,Clinic,Community Clinic,-121.92189,37.5332,-13572281.26,4513690.19
WASHINGTON ON WHEELS,Fremont,94538,1,Alameda,Clinic,Community Clinic,-121.98063,37.55801,-13578820.16,4517173.538
ASIAN HEALTH SERVICES,Oakland,94607,1,Alameda,Clinic,Community Clinic,-122.27062,37.79977,-13611101.69,4551177.812
"LA CLINICA DENTAL AT CHILDREN'S HOSPITAL, OAKLAND",Oakland,94609,1,Alameda,Clinic,Community Clinic,-122.26715,37.83735,-13610715.42,4556473.53
LA CLINICA  DE LA RAZA,Oakland,94601,1,Alameda,Clinic,Community Clinic,-122.22341,37.77572,-13605846.3,4547790.136
UJIMA HOLISTIC FAMILY HEALTH CENTER,Oakland,94603,1,Alameda,Clinic,Community Clinic,-122.16989,37.74326,-13599888.48,4543219.576
BEYOND EMANCIPATION TEEN HEALTH CTR.,Oakland,94601,1,Alameda,Clinic,Community Clinic,-122.232178,37.780956,-13606822.35,4548527.583
TIBURCIO VASQUEZ HEALTH CENTER,Hayward,94541,1,Alameda,Clinic,Community Clinic,-122.08685,37.67452,-13590644.52,4533547.189
FAMILY OPTICAL I,Oakland,94601,1,Alameda,Clinic,Community Clinic,-122.2304749,37.77430699,-13606632.77,4547591.134
ASHLAND FREE MEDICAL CLINIC,San Lorenzo,94580,1,Alameda,Clinic,Free Clinic,-122.12083,37.68672,-13594427.15,4535263.193
VALLEY PREGNANCY CENTER,Dublin,94568,1,Alameda,Clinic,Community Clinic,-121.933224,37.707532,-13573542.95,4538191.177
CLINICA ALTA VISTA,Oakland,94601,1,Alameda,Clinic,Community Clinic,-122.22513,37.7791,-13606037.77,4548266.175
TRI-CITY HEALTH CENTER,Fremont,94538,1,Alameda,Clinic,Community Clinic,-121.98351,37.5495,-13579140.76,4515978.595
TECHNICLINIC,Oakland,94611,1,Alameda,Clinic,Community Clinic,-122.254379,37.831642,-13609293.75,4555668.993
TIGER HEALTH CLINIC,Oakland,94601,1,Alameda,Clinic,Community Clinic,-122.20957,37.77367,-13604305.64,4547501.424
AIDS PROJECT OF THE EAST BAY,Oakland,94607,1,Alameda,Clinic,Community Clinic,-122.276226,37.798415,-13611725.75,4550986.918
ALTA BATES SUMMIT PERINATAL CENTER,Oakland,94609,1,Alameda,Clinic,Community Clinic,-122.26404,37.81892,-13610369.21,4553876.065
HOPE PROJECT,Fremont,94538,1,Alameda,Clinic,Community Clinic,-121.977364,37.548453,-13578456.59,4515831.589
LIFELONG MEDICAL CARE - DOWNTOWN OAKLAND CLINIC,Oakland,94612,1,Alameda,Clinic,Community Clinic,-122.274352,37.807256,-13611517.14,4552232.513
WESTCOAST CHILDREN'S CLINIC,Oakland,94601,1,Alameda,Clinic,Community Clinic,-122.22499,37.77617,-13606022.19,4547853.512
UJIMA HOLISTIC FAMILY HEALTH CENTER,Oakland,94605,1,Alameda,Clinic,Community Clinic,-122.152751,37.74324,-13597980.58,4543216.76
"ORGANIZATION TO ACHIEVE SOLUTIONS IN SUBSTANCE ABUSE, INC.",Oakland,94612,1,Alameda,Clinic,Community Clinic,-122.26892,37.81629,-13610912.45,4553505.454
NATIVE AMERICAN HEALTH CENTER,Oakland,94601,1,Alameda,Clinic,Community Clinic,-122.2284,37.77892,-13606401.79,4548240.823
AIDS PROJECT OF THE EAST BAY,Oakland,94612,1,Alameda,Clinic,Community Clinic,-122.26908,37.80285,-13610930.26,4551611.74
