OBJECTID,Facility Name,Street Address,City,ZIP Code,County Code,County Name,Type,Category,longitude,latitude,x,y
1,BERKELEY THERAPY INSTITUTE,1749 Martin Luther King Jr Way,Berkeley,94709,1,Alameda,Clinic,Community Clinic,-122.273185,37.874755,-13611387.23,4561747.266
2,EAST OAKLAND HEALTH CENTER,7450 International Blvd,Oakland,94621,1,Alameda,Clinic,Community Clinic,-122.18576,37.7586,-13601655.12,4545379.288
3,EASTER SEAL SOC OF THE BAY AREA,2757 Telegraph Ave,Oakland,94612,1,Alameda,Clinic,Community Clinic,-122.26791,37.81674,-13610800.02,4553568.865
4,AXIS COMMUNITY HEALTH,4361 Railroad Ave,Pleasanton,94566,1,Alameda,Clinic,Community Clinic,-121.87371,37.66145,-13566917.88,4531709.125
5,LA CLINICA DE LA RAZA FRUITVALE HEALTH PROJECT,1500 Fruitvale Ave,Oakland,94601,1,Alameda,Clinic,Community Clinic,-122.22515,37.77875,-13606040,4548216.88
6,WOMENS CHOICE CLINIC - OAKLAND,570 14Th St,Oakland,94612,1,Alameda,Clinic,Community Clinic,-122.274301,37.805748,-13611511.46,4552020.043
7,PLANNED PARENTHOOD GOLDEN GATE - MACARTHUR,482 W Macarthur Blvd,Oakland,94609,1,Alameda,Clinic,Community Clinic,-122.264412,37.826191,-13610410.62,4554900.739
8,PSYCHOTHERAPY INSTITUTE,2232 Carleton St,Berkeley,94704,1,Alameda,Clinic,Community Clinic,-122.26312,37.86175,-13610266.8,4559913.386
9,WEST OAKLAND HEALTH CENTER,700 Adeline St,Oakland,94607,1,Alameda,Clinic,Community Clinic,-122.28795,37.80441,-13613030.86,4551831.528
10,ASIAN HEALTH SERVICE,818 Webster St,Oakland,94607,1,Alameda,Clinic,Community Clinic,-122.27117,37.79947,-13611162.92,4551135.548
11,"TIBURCIO VASQUEZ HEALTH CENTER, INC.",33255 9Th St,Union City,94587,1,Alameda,Clinic,Community Clinic,-122.02599,37.60277,-13583869.61,4523460.819
12,"ANN MARTIN CHILDREN'S CENTER, INC",1250 Grand Ave,Piedmont,94610,1,Alameda,Clinic,Community Clinic,-122.2442,37.82005,-13608160.63,4554035.304
13,EAST BAY NATIVE AMERICAN HEALTH CENTER,3124 International Blvd,Oakland,94601,1,Alameda,Clinic,Community Clinic,-122.22636,37.77796,-13606174.69,4548105.615
14,PLANNED PARENTHOOD GOLDEN GATE - HAYWARD,1866 B St,Hayward,94541,1,Alameda,Clinic,Community Clinic,-122.065893,37.682796,-13588311.59,4534711.227
15,BERKELEY COMMUNITY HEALTH PROJECT,2339 Durant Ave,Berkeley,94704,1,Alameda,Clinic,Free Clinic,-122.26176,37.8675,-13610115.4,4560724.173
16,"WRIGHT INSTITUTE, THE",2728 Durant Ave,Berkeley,94704,1,Alameda,Clinic,Community Clinic,-122.25307,37.86851,-13609148.04,4560866.596
17,BERKELEY WOMEN'S HEALTH CENTER,2908 Ellsworth St,Berkeley,94705,1,Alameda,Clinic,Community Clinic,-122.26143,37.85696,-13610078.67,4559238.013
18,LA CLINICA DE LA RAZA DENTAL,3050 E 16Th St,Oakland,94601,1,Alameda,Clinic,Community Clinic,-122.22533,37.78001,-13606060.04,4548394.343
19,CASA DEL SOL,1501 Fruitvale Ave,Oakland,94601,1,Alameda,Clinic,Community Clinic,-122.22521,37.77894,-13606046.68,4548243.64
20,PLANNED PARENTHOOD GOLDEN GATE - EASTMONT,7200 Bancroft Ave,Oakland,94605,1,Alameda,Clinic,Community Clinic,-122.177548,37.766338,-13600740.97,4546468.888
21,EAST BAY AGENCY FOR CHILDREN - OAKLAND,2540 Charleston St,Oakland,94602,1,Alameda,Clinic,Community Clinic,-122.202259,37.807888,-13603491.78,4552321.56
22,SAN ANTONIO NEIGHBORHOOD HEALTH CENTER,1030 International Blvd,Oakland,94606,1,Alameda,Clinic,Community Clinic,-122.24917,37.79166,-13608713.89,4550035.317
23,LIFELONG DENTAL CARE,1860 Alcatraz Ave,Berkeley,94703,1,Alameda,Clinic,Community Clinic,-122.26989,37.84891,-13611020.43,4558103.09
24,ASIAN COMMUNITY MENTAL HEALTH SERVICES,310 8Th St,Oakland,94607,1,Alameda,Clinic,Community Clinic,-122.27046,37.79893,-13611083.88,4551059.471
25,AXIS COMMUNITY HEALTH,3311 Pacific Ave,Livermore,94550,1,Alameda,Clinic,Community Clinic,-121.75598,37.6761,-13553812.24,4533769.406
26,EAST BAY AGENCY FOR CHILDREN - FREMONT,42875 Gatewood St,Fremont,94538,1,Alameda,Clinic,Community Clinic,-121.958197,37.518029,-13576322.93,4511560.739
27,WILLIAM BYRON RUMFORD MEDICAL CLINIC,2960 Sacramento St,Berkeley,94702,1,Alameda,Clinic,Community Clinic,-122.27925,37.85386,-13612062.38,4558800.947
28,ALBERT J. THOMAS MEDICAL CLINIC,10615 International Blvd,Oakland,94603,1,Alameda,Clinic,Community Clinic,-122.16619,37.73845,-13599476.6,4542542.47
29,"BERKELEY PRIMARY CARE ACCESS CLINIC, INC",2001 Dwight Way,Berkeley,94704,1,Alameda,Clinic,Community Clinic,-122.26895,37.86379,-13610915.79,4560201.032
30,"CHARLOTTE MAXWELL COMPLEMENTARY CLINIC, THE",5691 Telegraph Ave,Oakland,94609,1,Alameda,Clinic,Community Clinic,-122.26166,37.84286,-13610104.27,4557250.217
31,TIBURCIO VASQUEZ HEALTH CENTER DBA MIRANDA CLINIC,27171 Calaroga Avenue,Hayward,94544,1,Alameda,Clinic,Community Clinic,-122.089786,37.63278677,-13590971.35,4527679.289
32,THIRD BOX PREGNANCY CLINIC SF BAY AREA,400 30Th St,Oakland,94609,1,Alameda,Clinic,Community Clinic,-122.26486,37.81905,-13610460.49,4553894.384
33,CENTER FOR ELDERS INDEPENDENCE (CLINIC) - BANCROFT,7200 Bancroft Ave,Oakland,94605,1,Alameda,Clinic,Community Clinic,-122.1775176,37.7663206,-13600737.58,4546466.438
34,TRI-CITY HEALTH CENTER - MOWRY AVE,2299 Mowry Ave,Fremont,94538,1,Alameda,Clinic,Community Clinic,-121.98179,37.5567,-13578949.29,4516989.583
35,LOGAN HEALTH CENTER,1800 H St,Union City,94587,1,Alameda,Clinic,Community Clinic,-122.0266,37.59134,-13583937.52,4521854.927
36,WEST BERKELEY FAMILY PRACTICE,2031 6Th St,Berkeley,94710,1,Alameda,Clinic,Community Clinic,-122.29735,37.86703,-13614077.26,4560657.898
37,CENTER FOR ELDERS INDEPENDENCE (CLINIC),1955 San Pablo Ave,Oakland,94612,1,Alameda,Clinic,Community Clinic,-122.27314,37.80983,-13611382.22,4552595.188
38,ASIAN HEALTH SERVICES,275 14Th St,Oakland,94612,1,Alameda,Clinic,Community Clinic,-122.26709,37.80263,-13610708.74,4551580.744
39,UJIMA HOUSE,9925 International Blvd,Oakland,94603,1,Alameda,Clinic,Community Clinic,-122.16989,37.74326,-13599888.48,4543219.576
40,LIFELONG MEDICAL CARE - EAST OAKLAND,10700 Macarthur Blvd,Oakland,94605,1,Alameda,Clinic,Community Clinic,-122.15121,37.74211,-13597809.04,4543057.685
41,NURSES IN ACTION FAMILY WELLNESS CLINIC,1600 Broadway,Oakland,94612,1,Alameda,Clinic,Community Clinic,-122.26979,37.80634,-13611009.3,4552103.452
42,PREGNANCY CHOICES  CLINIC,33523 Western Ave,Union City,94587,1,Alameda,Clinic,Community Clinic,-122.0342871,37.59315094,-13584793.24,4522109.344
43,TRI CITY HEALTH CENTER,39500 Liberty St,Fremont,94538,1,Alameda,Clinic,Community Clinic,-121.97742,37.5485,-13578462.83,4515838.188
44,LA CLINICA PEDIATRICS,2647 International Blvd,Oakland,94601,1,Alameda,Clinic,Community Clinic,-122.23214,37.78101,-13606818.12,4548535.189
45,OVER 60 HEALTH CENTER,3260 Sacramento St,Berkeley,94702,1,Alameda,Clinic,Community Clinic,-122.27793,37.84816,-13611915.44,4557997.358
46,CENTER FOR ELDERS INDEPENDENCE,1497 Alcatraz Ave,Berkeley,94702,1,Alameda,Clinic,Community Clinic,-122.27817,37.8479,-13611942.16,4557960.705
47,WASHINGTON URGENT CARE,2500 Mowry Ave,Fremont,94538,1,Alameda,Clinic,Community Clinic,-121.98234,37.55594,-13579010.52,4516882.863
48,CITY HELP COMMUNITY SERVICES,1500 Ashby Ave,Berkeley,94703,1,Alameda,Clinic,Community Clinic,-122.278797,37.853189,-13612011.95,4558706.346
49,AIDS PROJECT OF THE EAST BAY,1755 Broadway,Oakland,94612,1,Alameda,Clinic,Community Clinic,-122.26963,37.80701,-13610991.49,4552197.853
50,ON LOK SENIOR HEALTH SERVICES - FREMONT CENTER,159 Washington Blvd,Fremont,94539,1,Alameda,Clinic,Community Clinic,-121.92189,37.5332,-13572281.26,4513690.19
51,WASHINGTON ON WHEELS,2000 Mowry Ave,Fremont,94538,1,Alameda,Clinic,Community Clinic,-121.98063,37.55801,-13578820.16,4517173.538
52,ASIAN HEALTH SERVICES,345 9Th St,Oakland,94607,1,Alameda,Clinic,Community Clinic,-122.27062,37.79977,-13611101.69,4551177.812
