PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,facility_total,County_Name,County_Code
8.761004206,-3.725838363,-3.558675777,2.671905866,3.066057518,-1.000910683,-1.743626392,2.202346291,-0.466071752,-0.746338702,0.722786372,0.126158621,114,Alameda,6001
-12.65278172,-9.165375113,13.56554545,16.15283157,1.207069209,6.164256745,-1.718936106,-2.897048868,2.150266773,-1.753289822,-0.267390588,-0.563242029,0,Alpine,6003
-6.214788824,-3.798449592,-0.044135138,-2.917832397,3.105931298,-0.547879889,1.205727497,0.22207279,3.031403701,0.58567964,0.927321149,0.052860126,2,Amador,6005
-2.032931469,0.30238908,-0.906061795,-3.911809281,1.772469533,2.375306379,-0.27556013,-1.739561799,-0.409557456,-0.446272998,-1.017797072,-0.841072671,26,Butte,6007
-6.961171503,-4.055759081,-0.049998421,-4.488568701,-4.376101489,-0.392020158,-1.014189421,0.308143501,1.898266464,0.263616157,-1.495352461,-0.076219227,5,Calaveras,6009
-4.008915232,5.239528195,0.519997094,2.918006079,-3.338421309,-3.847659952,0.231379369,1.43579613,-1.713941063,-1.661277414,-0.302521402,-1.494688973,4,Colusa,6011
5.874574106,-3.044488771,-4.16709064,2.284925427,-0.592669221,0.973632665,-1.797201679,2.573301359,-0.792695283,-0.877392849,0.81290856,0.773889476,40,Contra Costa,6013
-6.06338032,1.042836271,2.616690776,-2.003483513,5.489357883,1.269288372,4.270141596,1.821251998,0.544987303,-1.310789825,0.809941166,-1.005613837,6,Del Norte,6015
-3.226413983,-5.490968349,-4.068159654,-2.425283512,-3.128036049,0.056268087,-1.171267652,-1.185066083,0.989137017,-1.033046182,-0.286794602,0.484290943,9,El Dorado,6017
5.372343421,7.263494128,1.068594613,0.521930591,-0.038674935,0.804314366,-1.620346999,-0.543924944,-0.053218164,0.46006254,-0.49703526,-0.225605944,73,Fresno,6019
-5.304499856,4.466256668,2.346585494,1.304299779,-2.474616136,-2.510623418,1.745137189,-0.005535529,-2.729672723,-2.092523579,-1.517306134,-0.25969652,5,Glenn,6021
-2.991189937,1.08527273,0.690116849,-4.100790718,2.549573062,2.040377783,-1.522935187,-1.464492591,-0.562409107,-0.042560087,-0.191208029,-1.123161542,32,Humboldt,6023
-0.488590312,11.58500686,1.939698409,2.218178689,0.956358093,-2.293646361,-1.76085898,-2.199026968,3.114602364,0.731698226,0.543537736,2.380961716,14,Imperial,6025
-6.633439064,-3.609971492,0.009910057,-1.596851618,0.612981702,-0.226858249,2.219087651,-0.487532949,-0.57033087,-2.372938674,-0.213011934,1.063994343,4,Inyo,6027
5.352676182,7.432023091,0.92789251,0.125608737,0.025234451,1.761672576,0.012699076,-0.408914293,0.416734429,1.384650828,-0.737329856,0.117503593,71,Kern,6029
-0.693947793,8.144208912,0.467266693,2.784280676,1.530028038,-1.670974417,0.707807902,1.228706096,3.384786155,0.019049266,0.755642311,0.578873826,14,Kings,6031
-5.644599587,2.472440463,2.718648537,-4.186908964,0.537270086,0.909126457,-1.32203512,-1.759783232,-1.393906264,-1.321938001,-0.225113659,0.60343003,7,Lake,6033
-5.955871134,-1.573207799,0.01725854,-1.706986039,3.572648957,-2.254553626,4.328560267,4.014017523,5.931629304,-1.244912942,-1.50842652,-0.787027082,11,Lassen,6035
37.41620293,-6.494540032,17.26618536,-4.854794532,0.035811149,-4.398994453,0.65227533,-1.354123775,0.574152415,-3.051292548,-0.129103455,-0.131737729,622,Los Angeles,6037
-1.034701656,7.606869162,0.490894414,1.687695074,-0.776526387,-0.704209011,0.48267575,-0.555025006,0.639893149,-0.050993078,-0.174776188,0.262145344,11,Madera,6039
-0.504615807,-5.947231457,-5.985709676,1.08331926,0.195508565,-0.313782376,0.257171091,-1.220616848,-0.007038817,0.091461892,1.421930049,1.267630724,26,Marin,6041
-8.414858313,-0.277127161,4.908593554,-3.838007657,1.902271959,0.283655186,-0.029299883,2.113105026,-0.336420271,1.859678675,1.208365752,1.521246926,4,Mariposa,6043
-3.350401404,3.546806477,1.267253038,-2.255150947,1.98886811,1.017105416,-0.625361338,-1.240939287,-1.961847721,0.050997001,1.249337247,-0.470697548,22,Mendocino,6045
0.594285636,9.202027301,0.154159358,1.642253946,-0.167879776,-0.710658392,-0.623450564,-0.103818754,1.874525975,0.091552223,-0.467149186,0.483231794,26,Merced,6047
-9.566683684,-1.584455994,6.997274113,1.735426572,-1.044406254,-0.409488425,4.634565849,1.935729648,-3.877092054,1.610213604,-3.643826358,5.439486684,3,Modoc,6049
-6.23243672,-4.227233231,1.034775293,3.134493054,-2.055972778,-3.267843443,5.564101075,-2.13035416,-1.66785384,1.917360351,3.119420579,-2.005760508,1,Mono,6051
2.969843968,4.808807576,-2.579952075,2.799230908,-1.529669927,-0.613171206,2.71023531,-1.068897798,0.159021704,1.625362459,-0.346358131,-0.791128398,33,Monterey,6053
-1.69042018,-1.404102435,-3.762437523,0.99816915,0.35047188,-1.433850827,1.253889406,-1.222411948,-0.049209049,-1.105170963,0.88484669,-0.380027956,10,Napa,6055
-5.31514922,-5.35343868,-2.280537465,-4.101263171,-3.72735904,-1.345330947,-2.342698687,-0.946997514,2.016919851,0.562383881,0.277775687,-0.042121735,12,Nevada,6057
